nombre,poblacion,superficie,continente
Alemania,83149300,357022,Europa
Argentina,224000004,923768,América
Australia,26439111,7692024,Oceanía
Brasil,213993437,8515767,América
Canadá,38929902,9984670,América
Chile,19603733,756102,América
China,1411750000,9596961,Asia
Corea del Sur,51780579,100210,Asia
España,48059777,505990,Europa
Estados Unidos,331893745,9833517,América
Francia,67391582,551695,Europa
India,1428627663,3287263,Asia
Italia,58983000,301340,Europa
Japón,125800000,377975,Asia
México,126014024,1964375,América
Nigeria,224000004,923768,Asia
Nueva Zelanda,5228100,268021,Oceanía
Paraguay,7132530,406752,América
Reino Unido,67736802,243610,Europa
Sudáfrica,60414495,1221037,África
Uruguay,3518552,176215,América
